Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,1280,2621,177,360,0.0,Urban,0
Female,Yes,2,Graduate,No,2187,1943,65,360,1.0,Semiurban,1
Female,No,1,Not Graduate,Yes,5972,159,20,360,0.0,Rural,0
Male,Yes,0,Graduate,No,2065,1450,81,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,7781,2664,125,360,1.0,Urban,1
Male,No,0,Not Graduate,No,4822,0,294,360,1.0,Urban,1
Male,Yes,0,Graduate,No,5213,2263,172,360,1.0,Semiurban,1
Female,No,0,Graduate,No,4304,4287,31,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,6932,2774,98,240,1.0,Urban,1
Female,Yes,0,Graduate,Yes,6957,3196,136,360,1.0,Semiurban,1
Male,Yes,0,Not Graduate,No,5837,1762,155,120,1.0,Semiurban,1
Female,Yes,0,Not Graduate,No,6411,2661,61,360,1.0,Urban,1
Female,No,1,Not Graduate,No,4469,638,131,360,1.0,Urban,1
Male,Yes,0,Graduate,No,6355,2455,96,360,1.0,Urban,1
Male,Yes,1,Graduate,No,4155,2285,73,60,1.0,Urban,1
Male,Yes,0,Graduate,No,5005,1847,155,360,1.0,Rural,1
Male,Yes,2,Graduate,No,4313,3079,186,360,1.0,Urban,1
Male,No,2,Graduate,No,3856,853,190,360,1.0,Urban,1
Male,Yes,0,Graduate,No,3277,1275,174,180,1.0,Semiurban,1
Male,No,0,Graduate,No,6169,1614,110,60,1.0,Rural,1
Male,No,0,Graduate,No,8276,264,182,360,1.0,Rural,1
Male,Yes,0,Not Graduate,No,7927,1772,158,360,1.0,Urban,1
Male,No,1,Not Graduate,No,1858,0,148,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,8223,2756,103,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,4204,1555,110,360,1.0,Rural,1
Female,Yes,2,Graduate,No,6501,874,144,180,1.0,Semiurban,1
Male,No,0,Not Graduate,No,2734,498,286,120,1.0,Semiurban,1
Male,No,0,Graduate,No,5354,1218,158,360,1.0,Semiurban,1
Male,Yes,1,Graduate,No,5784,2325,103,360,0.0,Semiurban,0
Male,No,0,Graduate,No,1288,2157,90,360,1.0,Urban,1
Male,Yes,1,Graduate,No,6520,653,110,360,1.0,Urban,1
Male,Yes,0,Graduate,No,8364,484,270,360,1.0,Urban,1
Male,Yes,0,Graduate,No,4563,2288,116,360,1.0,Urban,1
Female,No,3+,Graduate,Yes,8400,633,194,360,1.0,Urban,1
Female,No,0,Graduate,No,4525,1571,117,360,1.0,Semiurban,1
Female,Yes,3+,Graduate,Yes,7123,1648,155,240,1.0,Urban,1
Male,Yes,3+,Graduate,No,500,1874,187,360,1.0,Semiurban,1
Male,Yes,1,Not Graduate,No,11046,2529,105,360,0.0,Rural,0
Male,Yes,1,Graduate,No,8738,0,101,360,1.0,Urban,1
Male,Yes,0,Not Graduate,No,4288,0,239,360,1.0,Rural,1
Male,No,2,Graduate,No,500,819,199,60,1.0,Urban,1
Male,Yes,0,Graduate,No,5720,3661,187,180,0.0,Semiurban,0
Male,Yes,0,Graduate,Yes,1390,3926,187,360,1.0,Semiurban,1
Female,Yes,1,Graduate,No,6112,3697,167,120,1.0,Urban,1
Male,No,0,Graduate,No,6028,1268,261,360,1.0,Semiurban,1
Male,No,0,Graduate,Yes,2646,0,142,60,1.0,Semiurban,1
Male,Yes,0,Graduate,No,7802,0,174,360,1.0,Urban,1
Male,No,0,Graduate,Yes,7013,763,52,360,1.0,Semiurban,1
Male,Yes,2,Not Graduate,No,7439,1262,90,360,1.0,Rural,1
Male,Yes,0,Not Graduate,No,5022,3060,67,240,1.0,Urban,1
Female,Yes,2,Graduate,No,1461,2541,216,360,1.0,Semiurban,1
Female,Yes,1,Not Graduate,No,7444,1772,20,120,1.0,Urban,1
Female,Yes,2,Graduate,No,4324,432,115,360,1.0,Rural,1
Female,No,0,Graduate,No,1525,347,20,180,0.0,Urban,0
Male,No,1,Not Graduate,No,8380,1804,90,360,0.0,Semiurban,0
Female,No,0,Graduate,No,10248,2336,110,180,1.0,Semiurban,1
Male,Yes,2,Graduate,No,4896,1970,223,360,0.0,Urban,0
Male,Yes,0,Graduate,No,10397,258,163,360,1.0,Urban,1
Male,No,2,Not Graduate,No,5228,2280,90,60,1.0,Urban,1
Male,Yes,3+,Not Graduate,No,4048,2011,203,60,1.0,Semiurban,1
Male,Yes,0,Graduate,No,3423,215,141,360,1.0,Urban,1
Male,Yes,0,Graduate,No,9092,558,142,360,1.0,Semiurban,1
Female,No,1,Graduate,No,3049,2326,67,360,1.0,Semiurban,1
Male,Yes,0,Graduate,No,6838,1218,80,360,1.0,Semiurban,1
Male,Yes,2,Graduate,No,3602,3406,90,360,1.0,Urban,1
Male,No,0,Graduate,Yes,3849,2101,142,360,0.0,Urban,0
Male,Yes,0,Graduate,No,7575,916,144,360,0.0,Rural,0
Female,Yes,3+,Graduate,No,4049,1487,232,120,1.0,Rural,1
